2Theta,cuenta
10.02313028,1084
10.04939085,1257
10.07565142,1250
10.10191199,1100
10.12817256,1126
10.15443313,1208
10.1806937,1168
10.20695427,1130
10.23321484,1204
10.25947541,1130
10.28573598,1187
10.31199655,1132
10.33825712,1179
10.36451769,1178
10.39077826,1181
10.41703883,1236
10.4432994,1151
10.46955997,1184
10.49582054,1150
10.52208111,1194
10.54834168,1106
10.57460225,1184
10.60086282,1176
10.62712339,1176
10.65338396,1152
10.67964453,1184
10.7059051,1163
10.73216567,1153
10.75842624,1185
10.78468681,1158
10.81094738,1157
10.83720795,1167
10.86346852,1132
10.88972909,1166
10.91598966,1224
10.94225023,1165
10.9685108,1229
10.99477137,1213
11.02103194,1147
11.04729251,1134
11.07355308,1177
11.09981365,1192
11.12607422,1194
11.15233479,1295
11.17859536,1257
11.20485593,1184
11.2311165,1218
11.25737707,1211
11.28363764,1186
11.30989821,1186
11.33615878,1150
11.36241935,1186
11.38867992,1161
11.41494049,1254
11.44120106,1212
11.46746163,1199
11.4937222,1205
11.51998277,1183
11.54624334,1152
11.57250391,1204
11.59876448,1189
11.62502505,1219
11.65128562,1235
11.67754619,1169
11.70380676,1208
11.73006733,1219
11.7563279,1194
11.78258847,1219
11.80884904,1131
11.83510961,1220
11.86137018,1255
11.88763075,1206
11.91389132,1212
11.94015189,1233
11.96641246,1221
11.99267303,1222
12.0189336,1201
12.04519417,1202
12.07145474,1221
12.09771531,1124
12.12397588,1194
12.15023645,1194
12.17649702,1281
12.20275759,1278
12.22901816,1208
12.25527873,1259
12.2815393,1221
12.30779987,1171
12.33406044,1245
12.36032101,1294
12.38658158,1236
12.41284215,1255
12.43910272,1275
12.46536329,1186
12.49162386,1225
12.51788443,1213
12.544145,1188
12.57040557,1297
12.59666614,1235
12.62292671,1237
12.64918728,1247
12.67544785,1250
12.70170842,1228
12.72796899,1217
12.75422956,1200
12.78049013,1264
12.8067507,1328
12.83301127,1253
12.85927184,1196
12.88553241,1181
12.91179298,1186
12.93805355,1269
12.96431412,1257
12.99057469,1244
13.01683526,1194
13.04309583,1175
13.0693564,1186
13.09561697,1239
13.12187754,1224
13.14813811,1209
13.17439868,1231
13.20065925,1189
13.22691982,1246
13.25318039,1324
13.27944096,1208
13.30570153,1321
13.3319621,1200
13.35822267,1253
13.38448324,1317
13.41074381,1206
13.43700438,1200
13.46326495,1242
13.48952552,1274
13.51578609,1270
13.54204666,1220
13.56830723,1263
13.5945678,1237
13.62082837,1204
13.64708894,1236
13.67334951,1286
13.69961008,1203
13.72587065,1281
13.75213122,1294
13.77839179,1287
13.80465236,1289
13.83091293,1284
13.8571735,1279
13.88343407,1249
13.90969464,1260
13.93595521,1289
13.96221578,1263
13.98847635,1275
14.01473692,1254
14.04099749,1340
14.06725806,1282
14.09351863,1221
14.1197792,1275
14.14603977,1267
14.17230034,1280
14.19856091,1271
14.22482148,1344
14.25108205,1248
14.27734262,1295
14.30360319,1301
14.32986376,1271
14.35612433,1233
14.3823849,1216
14.40864547,1273
14.43490604,1295
14.46116661,1240
14.48742718,1200
14.51368775,1228
14.53994832,1261
14.56620889,1222
14.59246946,1290
14.61873003,1248
14.6449906,1260
14.67125117,1245
14.69751174,1299
14.72377231,1378
14.75003288,1281
14.77629345,1261
14.80255402,1306
14.82881459,1252
14.85507516,1234
14.88133573,1248
14.9075963,1296
14.93385687,1263
14.96011744,1246
14.98637801,1275
15.01263858,1292
15.03889915,1290
15.06515972,1309
15.09142029,1199
15.11768086,1265
15.14394143,1268
15.170202,1263
15.19646257,1285
15.22272314,1301
15.24898371,1212
15.27524428,1259
15.30150485,1263
15.32776542,1214
15.35402599,1339
15.38028656,1253
15.40654713,1245
15.4328077,1295
15.45906827,1282
15.48532884,1259
15.51158941,1287
15.53784998,1225
15.56411055,1273
15.59037112,1305
15.61663169,1278
15.64289226,1251
15.66915283,1273
15.6954134,1282
15.72167397,1204
15.74793454,1262
15.77419511,1253
15.80045568,1211
15.82671625,1290
15.85297682,1297
15.87923739,1274
15.90549796,1260
15.93175853,1255
15.9580191,1329
15.98427967,1309
16.01054024,1254
16.03680081,1291
16.06306138,1280
16.08932195,1296
16.11558252,1261
16.14184309,1226
16.16810366,1250
16.19436423,1228
16.2206248,1231
16.24688537,1278
16.27314594,1302
16.29940651,1316
16.32566708,1219
16.35192765,1232
16.37818822,1293
16.40444879,1248
16.43070936,1271
16.45696993,1281
16.4832305,1322
16.50949107,1236
16.53575164,1252
16.56201221,1276
16.58827278,1271
16.61453335,1296
16.64079392,1286
16.66705449,1182
16.69331506,1207
16.71957563,1255
16.7458362,1262
16.77209677,1277
16.79835734,1210
16.82461791,1268
16.85087848,1312
16.87713905,1305
16.90339962,1266
16.92966019,1290
16.95592076,1298
16.98218133,1300
17.0084419,1255
17.03470247,1256
17.06096304,1306
17.08722361,1259
17.11348418,1232
17.13974475,1279
17.16600532,1279
17.19226589,1330
17.21852646,1251
17.24478703,1322
17.2710476,1248
17.29730817,1183
17.32356874,1302
17.34982931,1338
17.37608988,1237
17.40235045,1218
17.42861102,1284
17.45487159,1254
17.48113216,1294
17.50739273,1204
17.5336533,1301
17.55991387,1310
17.58617444,1286
17.61243501,1242
17.63869558,1236
17.66495615,1307
17.69121672,1300
17.71747729,1309
17.74373786,1292
17.76999843,1218
17.796259,1274
17.82251957,1212
17.84878014,1282
17.87504071,1262
17.90130128,1301
17.92756185,1245
17.95382242,1242
17.98008299,1231
18.00634356,1202
18.03260413,1312
18.0588647,1241
18.08512527,1229
18.11138584,1220
18.13764641,1226
18.16390698,1207
18.19016755,1211
18.21642812,1268
18.24268869,1235
18.26894926,1204
18.29520983,1200
18.3214704,1180
18.34773097,1299
18.37399154,1226
18.40025211,1228
18.42651268,1237
18.45277325,1191
18.47903382,1251
18.50529439,1181
18.53155496,1258
18.55781553,1257
18.5840761,1241
18.61033667,1233
18.63659724,1297
18.66285781,1159
18.68911838,1246
18.71537895,1236
18.74163952,1222
18.76790009,1243
18.79416066,1209
18.82042123,1220
18.8466818,1209
18.87294237,1249
18.89920294,1225
18.92546351,1220
18.95172408,1279
18.97798465,1202
19.00424522,1299
19.03050579,1188
19.05676636,1220
19.08302693,1240
19.1092875,1247
19.13554807,1279
19.16180864,1235
19.18806921,1288
19.21432978,1251
19.24059035,1247
19.26685092,1230
19.29311149,1217
19.31937206,1262
19.34563263,1171
19.3718932,1200
19.39815377,1204
19.42441434,1196
19.45067491,1251
19.47693548,1219
19.50319605,1193
19.52945662,1206
19.55571719,1204
19.58197776,1199
19.60823833,1201
19.6344989,1304
19.66075947,1263
19.68702004,1143
19.71328061,1184
19.73954118,1208
19.76580175,1167
19.79206232,1191
19.81832289,1189
19.84458346,1253
19.87084403,1263
19.8971046,1203
19.92336517,1255
19.94962574,1236
19.97588631,1266
20.00214688,1198
20.02840745,1206
20.05466802,1174
20.08092859,1167
20.10718916,1246
20.13344973,1156
20.1597103,1262
20.18597087,1211
20.21223144,1182
20.23849201,1245
20.26475258,1178
20.29101315,1166
20.31727372,1163
20.34353429,1124
20.36979486,1239
20.39605543,1251
20.422316,1176
20.44857657,1181
20.47483714,1188
20.50109771,1261
20.52735828,1201
20.55361885,1248
20.57987942,1222
20.60613999,1180
20.63240056,1302
20.65866113,1156
20.6849217,1173
20.71118227,1209
20.73744284,1135
