Patrón de entrada,,,,,,,,,
V_BE,V_RB,I_B,V_BE1,V_RB1,I_B1,V_BE2,V_RB2,I_B2,
0.71,9.25,0.0000925,0.7,9.29,0.0000929,0.7,9.28,0.0000928,
0.709,8.93,0.0000893,0.703,9.03,0.0000903,0.7,9,0.00009,
0.707,8.1,0.000081,0.704,8.55,0.0000855,0.7,8.51,0.0000851,
0.7,7.08,0.0000708,0.703,7.98,0.0000798,0.7,7.99,0.0000799,
0.692,6.37,0.0000637,0.702,7.47,0.0000747,0.699,7.47,0.0000747,
0.685,5.77,0.0000577,0.702,7.02,0.0000702,0.699,6.96,0.0000696,
0.674,4.91,0.0000491,0.701,6.51,0.0000651,0.698,6.51,0.0000651,
0.67,4.67,0.0000467,0.699,6,0.00006,0.698,6.03,0.0000603,
0.666,4.11,0.0000411,0.694,5.56,0.0000556,0.697,5.57,0.0000557,
0.663,3.75,0.0000375,0.686,5.01,0.0000501,0.694,5.08,0.0000508,
0.66,3.45,0.0000345,0.679,4.52,0.0000452,0.686,4.56,0.0000456,
0.658,3.14,0.0000314,0.672,3.99,0.0000399,0.679,4.08,0.0000408,
0.657,2.81,0.0000281,0.666,3.49,0.0000349,0.671,3.5,0.000035,
0.651,2.48,0.0000248,0.661,3.03,0.0000303,0.664,2.96,0.0000296,
0.648,2.07,0.0000207,0.656,2.55,0.0000255,0.658,2.5,0.000025,
0.643,1.43,0.0000143,0.65,1.98,0.0000198,0.651,1.99,0.0000199,
0.637,1.04,0.0000104,0.644,1.5,0.000015,0.644,1.47,0.0000147,
0.635,0.83,0.0000083,0.637,1.03,0.0000103,0.639,1.09,0.0000109,
0.627,0.6,0.000006,0.622,0.45,0.0000045,0.623,0.53,0.0000053,
0.62,0.42,0.0000042,0.543,0.02,0.0000002,0.605,0.23,0.0000023,
0.615,0.208,0.00000208,0.615,0.29,0.0000029,0.556,0.04,0.0000004,
0.562,0.04,0.0000004,0.46,0.001,0.00000001,0.422,0.001,0.00000001,

