Código;Instrumento;Nombre Municipio;Código Dane Municipio;Nombre Institución;Código Dane Institución;Nombre Sede;Código Dane Sede;Dirección;Auditor;Código auditor;N° Visita;Fecha Planeada Inicio;Promedio Total;1:00 p. m.;2:00 p. m.;3:00 p. m.;4:00 p. m.;5:00 p. m.;6:00 p. m.;7:00 p. m.;8:00 p. m.;9:00 p. m.;10:00 p. m.;11:00 p. m.;12:00 p. m.;13 P;14 P;15 P;16 P;17 P;18 P;19 P;Promedio Categoría General
BO-A-240607-VH-EHL661;Vehículo RI ;BARRANQUILLA;08001;;;PARQUE INDUSTRIAL CLAVERIA KM.7;;PARQUE INDUSTRIAL CLAVERIA KM.7;jose miguel molina;333;2;7/06/2024;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NO;1;1;1;1
BO-A-240607-VH-SZK824;Vehículo RI ;BARRANQUILLA;08001;;;PARQUE INDUSTRIAL CLAVERIA KM.7;;PARQUE INDUSTRIAL CLAVERIA KM.7;jose miguel molina;333;2;7/06/2024;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NO;1;1;1;1
BO-A-240717-VH-GFQ005;Vehículo RI ;BARRANQUILLA;08001;;;PARQUE INDUSTRIAL CLAVERIA KM.7;;PARQUE INDUSTRIAL CLAVERIA KM.7;jose miguel molina;333;5;17/07/2024;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NO;1;1;1;1
BO-A-240724-VH-GFQ214;Vehículo RI ;BARRANQUILLA;08001;;;PARQUE INDUSTRIAL CLAVERIA KM.7;;PARQUE INDUSTRIAL CLAVERIA KM.7;jose miguel molina;333;6;24/07/2024;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NO;1;1;1;1
BO-A-240724-VH-LZO645;Vehículo RI ;BARRANQUILLA;08001;;;PARQUE INDUSTRIAL CLAVERIA KM.7;;PARQUE INDUSTRIAL CLAVERIA KM.7;jose miguel molina;333;6;24/07/2024;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NO;1;1;1;1
BO-A-240724-VH-SZR823;Vehículo RI ;BARRANQUILLA;08001;;;PARQUE INDUSTRIAL CLAVERIA KM.7;;PARQUE INDUSTRIAL CLAVERIA KM.7;jose miguel molina;333;6;24/07/2024;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NO;1;1;1;1
BO-A-240730-VH-GFQ377;Vehículo RI ;BARRANQUILLA;08001;;;PARQUE INDUSTRIAL CLAVERIA KM.7;;PARQUE INDUSTRIAL CLAVERIA KM.7;jose miguel molina;333;7;30/07/2024;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NO;1;1;1;1
BO-A-240730-VH-GUR382;Vehículo RI ;BARRANQUILLA;08001;;;PARQUE INDUSTRIAL CLAVERIA KM.7;;PARQUE INDUSTRIAL CLAVERIA KM.7;jose miguel molina;333;7;30/07/2024;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NO;1;1;1;1
BO-A-240730-VH-SRZ050;Vehículo RI ;BARRANQUILLA;08001;;;PARQUE INDUSTRIAL CLAVERIA KM.7;;PARQUE INDUSTRIAL CLAVERIA KM.7;jose miguel molina;333;7;30/07/2024;0,87;NO;NO;1;1;1;1;1;1;1;1;1;1;0;1;1;NO;NO;0;1;0,87
BO-A-240808-VH-LZO645;Vehículo RI ;BARRANQUILLA;08001;;;PARQUE INDUSTRIAL CLAVERIA KM.7;;PARQUE INDUSTRIAL CLAVERIA KM.7;jose miguel molina;333;8;8/08/2024;1;1;1;1;1;1;1;1;1;NO;1;1;1;1;1;1;1;1;1;1;1
BO-A-240808-VH-SXR823;Vehículo RI ;BARRANQUILLA;08001;;;PARQUE INDUSTRIAL CLAVERIA KM.7;;PARQUE INDUSTRIAL CLAVERIA KM.7;jose miguel molina;333;8;8/08/2024;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
BO-A-240816-VH-GET806;Vehículo RI ;BARRANQUILLA;08001;;;PARQUE INDUSTRIAL CLAVERIA KM.7;;PARQUE INDUSTRIAL CLAVERIA KM.7;jose miguel molina;333;9;16/08/2024;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NO;1;1;1;1
BO-A-240816-VH-LZO645;Vehículo RI ;BARRANQUILLA;08001;;;PARQUE INDUSTRIAL CLAVERIA KM.7;;PARQUE INDUSTRIAL CLAVERIA KM.7;jose miguel molina;333;9;16/08/2024;1;1;1;1;1;1;1;1;1;NO;1;1;1;1;1;1;NO;1;1;1;1
BO-A-240823-VH-GUR382;Vehículo RI ;BARRANQUILLA;08001;;;PARQUE INDUSTRIAL CLAVERIA KM.7;;PARQUE INDUSTRIAL CLAVERIA KM.7;valentina monsalve mejía;332;10;23/08/2024;1;1;1;1;1;1;1;1;1;NO;1;1;1;1;1;1;1;1;1;1;1
