2theta,Intensity,Ancho FWHM,Cris. tamaño,D [nm] Average,, Cristalinidad,area por pico,suma de areas,area de todos los picos,,Cristalinidad del material
0.5275,3218,0.1949,40.76127853,40.78538128,,,265.77,948.174,1289.26,,73.54404852
0.0026,2465,0.195,40.73994366,,,,148.89,,,,
6.402,1395,0.195,40.80360586,,,,181.57,,,,
0.7125,1268,0.195,40.74073117,,,,123.32,,,,
6.292,331,0.195,40.80143422,,,,93.699,,,,
4.5021,251,0.1949,40.79232541,,,,33.565,,,,
7.0369,213,0.195,40.81687987,,,,27.197,,,,
6.5169,206,0.1949,40.82685148,,,,74.163,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2theta,theta,d-spaicing [Amstrong],,,,,,,,,
0.5275,0.26375,167.3368524,,,,,,,,,
0.0026,0.0013,33949.95305,,,,,,,,,
6.402,3.201,13.79503485,,,,,,,,,
0.7125,0.35625,123.8883462,,,,,,,,,
6.292,3.146,14.03595798,,,,,,,,,
4.5021,2.25105,19.61142365,,,,,,,,,
7.0369,3.51845,12.55174581,,,,,,,,,
6.5169,3.25845,13.55206883,,,,,,,,,
